Contracts,Trade Type,Qty,Entry Price,Realized P&L,Filled Price,Exit Type,Filled/Settlement Time(UTC+0),Create Time
SOLUSDT,SELL,123.70000000000000000000,146.10000000000000000000,673.14549399000000000000,151.60000000000000000000,Trade,15:14 2025-06-06,15:08 2025-06-06
BTCUSDT,SELL,0.49600000000000000000,100700.00000000000000000000,2071.63784472000000000000,104925.00000000000000000000,Trade,15:13 2025-06-06,15:07 2025-06-06
STXUSDT,SELL,29967.00000000000000000000,0.66768742000000000000,54.28088785000000000000,0.67000000000000000000,Trade,15:02 2025-06-06,15:00 2025-06-06
ETHUSDT,SELL,16.31000000000000000000,2513.96350000000000000000,-6.13174612000000000000,2515.00000000000000000000,Trade,14:42 2025-06-06,14:42 2025-06-06
STXUSDT,SELL,15126.30000000000000000000,0.66122830000000000000,140.27875471000000000000,0.67100000000000000000,Trade,13:41 2025-06-06,13:41 2025-06-06
HYPEUSDT,SELL,181.44000000000000000000,34.56134442000000000000,67.92088244000000000000,34.95000000000000000000,Trade,13:02 2025-06-06,13:02 2025-06-06
ETHUSDT,SELL,16.30000000000000000000,2513.96350000000000000000,-657.99758650000000000000,2475.00000000000000000000,Trade,12:27 2025-06-06,12:26 2025-06-06
FARTCOINUSDT,BUY,18749.00000000000000000000,1.06666887000000000000,177.44501339000000000000,1.05650000000000000000,Trade,11:36 2025-06-06,11:35 2025-06-06
SOLUSDT,SELL,13.10000000000000000000,146.10000000000000000000,32.78073574000000000000,148.66000000000000000000,Trade,11:36 2025-06-06,11:34 2025-06-06
HYPEUSDT,SELL,298.19000000000000000000,33.53499347000000000000,371.55782784000000000000,34.81000000000000000000,Trade,07:13 2025-06-06,07:12 2025-06-06
ETHUSDT,SELL,12.35000000000000000000,2513.96350000000000000000,-1073.85559127000000000000,2428.00000000000000000000,Trade,22:47 2025-06-05,22:46 2025-06-05
ETHUSDT,SELL,0.07000000000000000000,2513.96350000000000000000,-6.22660287000000000000,2426.00000000000000000000,Trade,22:43 2025-06-05,22:41 2025-06-05
ETHUSDT,SELL,22.40000000000000000000,2513.96350000000000000000,-1343.04284215000000000000,2455.00000000000000000000,Trade,20:36 2025-06-05,20:35 2025-06-05
ETHUSDT,SELL,19.84000000000000000000,2543.85200000000000000000,-493.31610750000000000000,2520.00000000000000000000,Trade,19:18 2025-06-05,19:18 2025-06-05
ETHUSDT,SELL,16.98000000000000000000,2599.91640000000000000000,100.02758151000000000000,2607.00000000000000000000,Trade,14:48 2025-06-05,14:48 2025-06-05
ETHUSDT,SELL,25.25000000000000000000,2607.00000000000000000000,24.15920000000000000000,2609.00000000000000000000,Trade,21:30 2025-06-04,21:29 2025-06-04
ETHUSDT,BUY,7.51000000000000000000,2660.00000000000000000000,63.36862900000000000000,2650.50000000000000000000,Trade,16:49 2025-06-04,16:48 2025-06-04
ETHUSDT,BUY,7.47000000000000000000,2674.00000000000000000000,21.89606400000000000000,2670.00000000000000000000,Trade,15:58 2025-06-04,15:57 2025-06-04
ETHUSDT,BUY,7.22000000000000000000,2624.15240000000000000000,147.05992017000000000000,2602.01000000000000000000,Trade,17:00 2025-06-03,16:22 2025-06-03
BTCUSDT,SELL,0.19000000000000000000,104474.54000000000000000000,51.63669706000000000000,104812.00000000000000000000,Trade,16:08 2025-06-01,16:07 2025-06-01
